City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Atuona,PF,77.27,scattered clouds,-9.8,-139.0333,Villa Enata
10,Sturgis,US,89.85,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
12,Rikitea,PF,73.08,scattered clouds,-23.1203,-134.9692,People ThankYou
15,Mattru,SL,81.63,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
17,Progreso,MX,87.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
19,Kavaratti,IN,83.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
20,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
30,Albany,US,78.93,scattered clouds,42.6001,-73.9662,
31,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
33,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
34,Albert Lea,US,89.83,clear sky,43.648,-93.3683,Countryside Motel Albert Lea
36,Senno,RU,70.27,overcast clouds,59.5336,33.9167,
40,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
45,San Juan Bautista,PE,70.7,broken clouds,-14.0108,-75.7358,Hotel Las Dunas
46,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Hobyo,SO,79.72,clear sky,5.3505,48.5268,Iftin hotel hobyo
50,Panorama,GR,75.69,few clouds,40.5878,23.0315,Panorama Hotel
52,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
54,Korla,CN,87.28,broken clouds,41.7597,86.1469,Gulisitan Hotel
56,Puntarenas,CR,81.66,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
58,Jamestown,US,79.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
65,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
78,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
85,Sao Gabriel Da Cachoeira,BR,75.0,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
87,Hambantota,LK,80.62,light rain,6.1241,81.1185,Bungalow 63
88,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
89,Victoria,HK,79.97,overcast clouds,22.2855,114.1577,Mini Central
91,Goderich,CA,77.32,clear sky,43.7501,-81.7165,Harmony Inn
92,Kalmunai,LK,75.33,moderate rain,7.4167,81.8167,VS Villa
93,Faanui,PF,79.72,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Sur,OM,86.68,few clouds,22.5667,59.5289,Sur Plaza Hotel
97,Yaan,NG,83.97,overcast clouds,7.3833,8.5667,
98,Hithadhoo,MV,83.37,scattered clouds,-0.6,73.0833,Scoop Guest House
101,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
103,Neftcala,AZ,75.49,clear sky,39.3742,49.2472,Otel restoran
104,Zhicheng,CN,76.39,light rain,30.2956,111.5047,Wangjiang Building
105,Vanimo,PG,76.75,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
106,Tezu,IN,72.91,overcast clouds,27.9167,96.1667,Circuit House
114,Weymouth,US,81.55,few clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
115,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
118,Keningau,MY,70.57,overcast clouds,5.3378,116.1602,Sabindo Hotel
122,Coracao De Jesus,BR,78.19,broken clouds,-16.6853,-44.365,Hotel Neves
125,Manokwari,ID,79.39,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
127,Bubaque,GW,78.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
128,Caravelas,BR,74.88,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
129,Vaitape,PF,79.68,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
132,Ghindari,RO,70.43,broken clouds,46.5,24.9167,B kuria
135,Roma,US,77.5,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
136,Ilovlya,RU,72.05,clear sky,49.3033,43.9796,"Tri Sosny, Baza Otdykha"
138,Jining,CN,72.28,clear sky,35.405,116.5814,Yunhe Star Hotel
139,Tefe,BR,78.91,overcast clouds,-3.3542,-64.7114,Aracati Hotel
141,Brufut,GM,87.89,broken clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
142,Manaure,CO,87.94,overcast clouds,11.7751,-72.4445,Hotel Palaaima
