City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-06-13 18:13:25,-53.15,-70.9167,48.31,71,0,13.8
1,Jvari,GE,2022-06-13 18:13:25,42.7169,42.052,67.32,98,97,2.51
2,Cape Town,ZA,2022-06-13 18:13:25,-33.9258,18.4232,55.11,94,75,5.75
3,Wanning,CN,2022-06-13 18:13:25,18.8003,110.3967,81.01,93,100,10.47
4,Hasaki,JP,2022-06-13 18:13:26,35.7333,140.8333,61.29,72,100,14.03
5,Butaritari,KI,2022-06-13 18:13:26,3.0707,172.7902,81.52,73,30,11.79
6,Jamestown,US,2022-06-13 18:13:26,42.097,-79.2353,80.53,30,34,5.99
7,Coquimbo,CL,2022-06-13 18:13:26,-29.9533,-71.3436,55.13,71,0,9.22
8,Paraiso,CR,2022-06-13 18:13:27,9.8383,-83.8656,74.95,81,100,1.97
9,Komatipoort,ZA,2022-06-13 18:13:27,-25.4332,31.9548,62.94,41,0,4.59
10,Plettenberg Bay,ZA,2022-06-13 18:13:27,-34.0527,23.3716,67.37,46,100,7.2
11,Busselton,AU,2022-06-13 18:13:28,-33.65,115.3333,58.93,72,95,9.17
12,Hilo,US,2022-06-13 18:13:28,19.7297,-155.09,84.27,75,0,4.61
13,Orange Cove,US,2022-06-13 18:13:28,36.6244,-119.3137,78.62,42,8,7.65
14,Rudnogorsk,RU,2022-06-13 18:13:29,57.2639,103.7519,54.84,96,69,2.82
15,Saint-Joseph,RE,2022-06-13 18:13:29,-21.3667,55.6167,68.38,75,40,14.92
16,Rikitea,PF,2022-06-13 18:13:29,-23.1203,-134.9692,73.18,65,18,10.76
17,Barrow,US,2022-06-13 18:08:56,71.2906,-156.7887,30.22,93,75,14.97
18,Hithadhoo,MV,2022-06-13 18:13:30,-0.6,73.0833,83.3,73,46,6.15
19,Cherskiy,RU,2022-06-13 18:13:30,68.75,161.3,58.28,36,29,3.0
20,Carnarvon,AU,2022-06-13 18:13:30,-24.8667,113.6333,66.13,59,0,13.51
21,Beringovskiy,RU,2022-06-13 18:13:31,63.05,179.3167,39.31,90,77,5.64
22,Buraydah,SA,2022-06-13 18:13:31,26.326,43.975,97.18,8,2,12.06
23,Caravelas,BR,2022-06-13 18:13:32,-17.7125,-39.2481,72.82,78,100,12.84
24,Husavik,IS,2022-06-13 18:13:32,66.0449,-17.3389,54.75,69,100,9.69
25,Asau,RO,2022-06-13 18:13:32,46.4333,26.4,69.28,84,21,2.77
26,Atascadero,US,2022-06-13 18:13:32,35.4894,-120.6707,79.36,51,0,4.0
27,Hot Springs,US,2022-06-13 18:13:33,34.5037,-93.0552,94.53,60,0,8.05
28,Mataura,NZ,2022-06-13 18:13:33,-46.1927,168.8643,45.48,95,99,13.42
29,Samarai,PG,2022-06-13 18:13:34,-10.6167,150.6667,81.59,75,75,12.86
30,Misawa,JP,2022-06-13 18:13:34,40.6836,141.3597,48.16,93,75,2.3
31,Nikolskoye,RU,2022-06-13 18:13:35,59.7035,30.7861,62.49,76,65,3.15
32,Necochea,AR,2022-06-13 18:13:35,-38.5473,-58.7368,63.81,42,70,13.69
33,Fort Nelson,CA,2022-06-13 18:13:11,58.8053,-122.7002,67.26,28,62,3.04
34,Kapaa,US,2022-06-13 18:13:35,22.0752,-159.319,79.12,81,0,18.41
35,El Alto,PE,2022-06-13 18:13:35,-4.2714,-81.2147,71.26,71,72,14.65
36,Ushuaia,AR,2022-06-13 18:09:41,-54.8,-68.3,42.46,87,40,19.57
37,Luanda,AO,2022-06-13 18:13:36,-8.8368,13.2343,72.27,86,7,11.45
38,Ostrovnoy,RU,2022-06-13 18:13:36,68.0531,39.5131,50.74,90,100,7.7
39,Atuona,PF,2022-06-13 18:13:36,-9.8,-139.0333,78.08,66,62,19.15
40,Tabou,CI,2022-06-13 18:13:37,4.423,-7.3528,79.66,66,63,5.41
41,Svetlogorsk,BY,2022-06-13 18:13:37,52.6333,29.7333,63.21,69,67,5.46
42,Arlit,NE,2022-06-13 18:13:37,18.7369,7.3853,104.58,8,25,9.84
43,Komsomolskiy,UZ,2022-06-13 18:13:38,40.4272,71.7189,74.12,38,79,4.61
44,Saskylakh,RU,2022-06-13 18:13:38,71.9167,114.0833,58.53,55,52,2.86
45,Bonfim,BR,2022-06-13 18:13:38,3.0833,-59.95,83.93,65,83,3.18
46,Hermanus,ZA,2022-06-13 18:14:39,-34.4187,19.2345,52.81,89,100,10.27
47,Hefei,CN,2022-06-13 18:09:57,31.8639,117.2808,74.77,65,79,5.57
